编号,中文,English,日本語,相关能力,事实依据,剧团岗位建议,把握,注意,来源,性质
cast-001,阿米娅,Amiya,アーミヤ,小提琴,专属物品 Nebula-1 明确为她的小提琴。,抒情场景的小提琴独奏或室内乐,中,物品关联不足以证明音乐学院级熟练度。,https://prts.wiki/w/阿米娅 | https://arknights.wiki.gg/wiki/Nebula-1,创作推论
cast-002,空弦,Archetto,アルケット,歌唱,后续剧情列其职业为歌手，并关联塞壬唱片。,歌手、宣传嘉宾、宗教与流行节目桥梁,高,属于较后期剧情，页面需标时间与服务器进度。,https://prts.wiki/w/空弦 | https://arknights.wiki.gg/wiki/Archetto/Story,创作推论
cast-003,风笛,Bagpipe,バグパイプ,非职业歌唱与舞动,语音与档案出现随性歌唱或合拍动作。,团体合唱、民谣返场,低,不是职业表演者；代号不证明会吹风笛。,https://prts.wiki/w/风笛 | https://arknights.wiki.gg/wiki/Bagpipe/File,创作推论
cast-004,止颂,Bassline,ベースライン,大号、口琴、乐团,档案确认宫廷音乐教育、大号演奏、少量口琴及罗德岛乐团经历。,大号首席、低铜声部、礼仪音乐统筹,高,年轻使节，演出需服从外交职责。,https://prts.wiki/w/止颂 | https://arknights.wiki.gg/wiki/Bassline/File,创作推论
cast-005,晓歌,Cantabile,カンタービレ,多乐器、钢琴,档案确认掌握多种乐器并有钢琴经历。,排练钢琴、乐池多面手、声乐指导伴奏,高,隐秘行动与创伤背景使招募伦理重要。,https://prts.wiki/w/晓歌 | https://arknights.wiki.gg/wiki/Cantabile/File,创作推论
cast-006,车尔尼,Czerny,ツェルニー,作曲、钢琴、管风琴,著名莱塔尼亚音乐家；能作曲和演奏，并任罗德岛合唱团管风琴师。,驻团作曲、指挥、排练钢琴、管风琴,高,其职业伦理会与猩红剧团的强制性冲突。,https://prts.wiki/w/车尔尼 | https://arknights.wiki.gg/wiki/Czerny/File,创作推论
cast-007,黑键,Ebenholz,エーベンホルツ,大提琴、多乐器、作曲,档案确认多乐器训练并常用大提琴，莱塔尼亚音乐教育是核心经历。,大提琴首席、室内乐统筹、助理音乐总监,高,与声音相关的创伤需要保护措施。,https://prts.wiki/w/黑键 | https://arknights.wiki.gg/wiki/Ebenholz/File,创作推论
cast-008,埃拉托,Erato,エラト,竖琴、吟游叙事,档案确认竖琴与吟游表演；罗德岛演出兼具琴声和故事，曾获剧团伴奏邀约。,竖琴手、叙事者、词作与民俗顾问,高,自我宣传可能夸张，但核心能力经人事确认。,https://prts.wiki/w/埃拉托 | https://arknights.wiki.gg/wiki/Erato/File,创作推论
cast-009,纯烬艾雅法拉,Eyjafjalla the Hvít Aska,,吉他,该异格材料直接出现吉他演奏关联。,安静幕间或公益场的木吉他,中,仅用于对应异格版本；日文名仍待补。,https://prts.wiki/w/纯烬艾雅法拉 | https://arknights.wiki.gg/wiki/Eyjafjalla_the_Hv%C3%ADt_Aska/File,创作推论
cast-010,守林人,Firewatch,ファイヤーウォッチ,口琴、吉他物品,档案确认口琴及埃拉菲亚乐器文化；专属家具另有吉他。,口琴独奏、森林民乐顾问,高,吉他所有权不能单独证明演奏能力。,https://prts.wiki/w/守林人 | https://arknights.wiki.gg/wiki/Firewatch/File,创作推论
